service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6533-6933,1,1,1,1,1,1,1,20251017,20251105
6168,1,1,1,1,1,1,1,20250829,20251213
6268,1,1,1,1,1,1,1,20241215,20251213
850,1,1,1,1,1,1,1,20251017,20251213
6765,1,1,1,1,1,1,1,20241215,20251213
6383,1,1,1,1,1,1,1,20251017,20251105
6531-6931,1,1,1,1,1,1,1,20251017,20251105
6266,1,1,1,1,1,1,1,20241215,20251213
848,0,1,1,1,1,1,1,20251017,20251213
6763,1,1,1,1,1,1,1,20241215,20251213
6166,1,1,1,1,1,1,1,20241215,20251213
6381,1,1,1,1,1,1,1,20251017,20251105
6264-824,1,1,1,1,1,1,1,20241215,20251213
6529-6929,1,1,1,1,1,1,1,20251017,20251105
6262,1,1,1,1,1,1,1,20241215,20251213
6379,1,1,1,1,1,1,1,20251017,20251105
6761,1,1,1,1,1,1,1,20241215,20251213
6164,1,1,1,1,1,1,1,20241215,20251213
846,1,1,1,1,1,0,0,20251017,20251213
6162,1,1,1,1,1,1,1,20241215,20251213
6260,1,1,1,1,1,1,1,20241215,20251213
6377,1,1,1,1,1,1,1,20251017,20251105
6527-6927,1,1,1,1,1,1,1,20251017,20251105
6258,1,1,1,1,1,1,1,20241215,20251213
6375,1,1,1,1,1,1,1,20251017,20251105
6757,1,1,1,1,1,1,1,20241215,20251213
6160,1,1,1,1,1,1,1,20241215,20251213
866,1,1,1,1,1,1,1,20251017,20251213
6373,1,1,1,1,1,0,0,20251017,20251105
6158,1,1,1,1,1,0,0,20251003,20251213
6256,1,1,1,1,1,1,1,20241215,20251213
816,1,1,1,1,1,0,1,20241215,20251213
6371,1,1,1,1,1,1,1,20251017,20251105
6525-6925,1,1,1,1,1,1,1,20251017,20251105
6254,1,1,1,1,1,1,1,20241215,20251213
6156,1,1,1,1,1,1,1,20241215,20251213
6369,1,1,1,1,1,1,1,20251017,20251105
6753,1,1,1,1,1,1,1,20241215,20251213
723,1,1,1,1,1,1,1,20241215,20251213
876,1,1,1,1,1,1,1,20251017,20251213
6367,1,1,1,1,1,0,0,20251017,20251105
6154,1,1,1,1,1,0,0,20251003,20251213
814,1,1,1,1,1,1,1,20251008,20251110
6252,1,1,1,1,1,1,1,20241215,20251213
844,1,1,1,1,1,1,1,20251017,20251213
6365,1,1,1,1,1,1,1,20251017,20251105
6523-6923,1,1,1,1,1,1,1,20251017,20251105
6250,1,1,1,1,1,1,1,20241215,20251213
6749,1,1,1,1,1,1,1,20241215,20251213
6152,1,1,1,1,1,1,1,20241215,20251213
6363,1,1,1,1,1,1,1,20251017,20251105
864,1,1,1,1,1,0,0,20251017,20251213
6248,1,1,1,1,1,0,0,20241215,20251213
6361,1,1,1,1,1,0,0,20251017,20251105
6148,1,1,1,1,1,0,0,20251017,20251213
6873,1,1,1,1,1,0,0,20241215,20251213
6246,1,1,1,1,1,1,1,20241215,20251213
812,1,1,1,1,1,1,1,20251008,20251110
6359,1,1,1,1,1,1,1,20251017,20251105
6521-6921,1,1,1,1,1,1,1,20251017,20251105
6244,1,1,1,1,1,1,1,20241215,20251213
6146,1,1,1,1,1,1,1,20241215,20251213
6745,1,1,1,1,1,1,1,20241215,20251213
706,0,1,1,1,0,0,1,20241215,20251213
6357,1,1,1,1,1,1,1,20251017,20251105
842,1,1,1,1,1,1,1,20251017,20251213
6355,1,1,1,1,1,0,0,20251017,20251105
6144,1,1,1,1,1,0,0,20251003,20251213
6353,1,1,1,1,1,1,1,20251017,20251105
6879,1,1,1,1,1,0,0,20250922,20251213
6242,1,1,1,1,1,1,1,20241215,20251213
6519-6919,1,1,1,1,1,1,1,20251017,20251105
6240,1,1,1,1,1,1,1,20241215,20251213
6142,1,1,1,1,1,1,1,20241215,20251213
6351,1,1,1,1,1,1,1,20251017,20251105
6741,1,1,1,1,1,1,1,20241215,20251213
840,1,1,1,1,1,1,1,20251017,20251213
6140,1,1,1,1,1,0,0,20251017,20251213
6238,1,1,1,1,1,1,1,20241215,20251213
6347,1,1,1,1,1,1,1,20251017,20251105
6517-6917,1,1,1,1,1,1,1,20251017,20251105
6236-822,1,1,1,1,1,1,1,20241215,20251213
6138,1,1,1,1,1,1,1,20241215,20251213
6737,1,1,1,1,1,1,1,20241215,20251213
838,1,1,1,1,1,1,1,20251017,20251213
6345,1,1,1,1,1,1,1,20251017,20251105
6343,1,1,1,1,1,1,1,20251017,20251105
6234,1,1,1,1,1,1,1,20241215,20251213
6515-6915,1,1,1,1,1,1,1,20251017,20251105
6232,1,1,1,1,1,1,1,20241215,20251213
6134,1,1,1,1,1,1,1,20241215,20251213
6733,1,1,1,1,1,1,1,20241215,20251213
6341,1,1,1,1,1,1,1,20251017,20251105
6230,1,1,1,1,1,1,1,20241215,20251213
6339,1,1,1,1,1,1,1,20251017,20251105
810,1,1,1,1,1,1,1,20251008,20251110
6403,1,1,1,1,1,1,1,20251017,20251105
6228,1,1,1,1,1,1,1,20241215,20251213
6130,1,1,1,1,1,1,1,20241215,20251213
6337,1,1,1,1,1,1,1,20251017,20251105
6729,1,1,1,1,1,1,1,20241215,20251213
836,1,1,1,1,1,1,1,20251017,20251213
6335,1,1,1,1,1,1,1,20251017,20251105
