trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
77982,04:59:00,05:00:00,1,1,0,0
77982,05:03:00,05:04:00,386,2,0,0
77982,05:08:00,05:09:00,391,3,0,0
77982,05:10:00,05:11:00,248,4,0,0
77982,05:12:00,05:13:00,392,5,0,0
77982,05:15:00,05:16:00,305,6,0,0
77982,05:18:00,05:19:00,213,7,0,0
77982,05:23:00,05:24:00,358,8,0,0
77982,05:28:00,05:29:00,296,9,0,0
77982,05:31:00,05:32:00,229,10,0,0
77982,05:33:00,05:34:00,255,11,0,0
77982,05:37:00,05:38:00,316,12,0,0
77982,05:52:00,05:53:00,252,13,0,0
77982,05:57:00,05:58:00,336,14,0,0
77982,05:59:00,06:00:00,359,15,0,0
77982,06:01:00,06:02:00,322,16,0,0
77982,06:03:00,06:04:00,207,17,0,0
77982,06:05:00,06:06:00,393,18,0,0
77982,06:12:00,06:13:00,394,19,0,0
77982,06:17:00,06:18:00,275,20,0,0
77982,06:22:00,06:23:00,286,21,0,0
77982,06:29:00,06:30:00,395,22,0,0
77982,06:34:00,06:35:00,328,23,0,0
77982,06:39:00,06:40:00,396,24,0,0
77982,06:43:00,06:44:00,397,25,0,0
78102,05:04:00,05:05:00,1,1,0,0
78102,05:10:00,05:11:00,386,2,0,0
78102,05:15:00,05:16:00,388,3,0,0
78102,05:28:00,05:29:00,340,4,0,0
78102,05:39:00,05:40:00,342,5,0,0
78102,05:44:00,05:45:00,237,6,0,0
78102,05:49:00,05:50:00,349,7,0,0
78392,05:08:00,05:09:00,1,1,0,0
78392,05:13:00,05:14:00,450,2,0,0
78392,05:18:00,05:19:00,331,3,0,0
78392,05:20:00,05:21:00,245,4,0,0
78392,05:22:00,05:23:00,421,5,0,0
78392,05:28:00,05:29:00,250,6,0,0
78392,05:30:00,05:31:00,380,7,0,0
78392,05:35:00,05:36:00,384,8,0,0
78392,05:39:00,05:40:00,299,9,0,0
78392,05:43:00,05:44:00,343,10,0,0
78392,05:46:00,05:47:00,339,11,0,0
78392,05:48:00,05:49:00,354,12,0,0
78392,05:51:00,05:52:00,235,13,0,0
78392,05:56:00,05:57:00,283,14,0,0
78392,06:01:00,06:02:00,298,15,0,0
78392,06:05:00,06:06:00,367,16,0,0
78392,06:10:00,06:11:00,364,17,0,0
78392,06:16:00,06:17:00,412,18,0,0
78392,06:21:00,06:22:00,330,19,0,0
78392,06:26:00,06:27:00,203,20,0,0
78002,05:29:00,05:30:00,1,1,0,0
78002,05:33:00,05:34:00,386,2,0,0
78002,05:38:00,05:39:00,391,3,0,0
78002,05:41:00,05:42:00,248,4,0,0
78002,05:43:00,05:44:00,392,5,0,0
78002,05:46:00,05:47:00,305,6,0,0
78002,05:49:00,05:50:00,213,7,0,0
78002,06:00:00,06:01:00,358,8,0,0
78002,06:06:00,06:07:00,296,9,0,0
78002,06:09:00,06:10:00,229,10,0,0
78002,06:12:00,06:13:00,255,11,0,0
78002,06:15:00,06:16:00,316,12,0,0
78002,06:18:00,06:19:00,252,13,0,0
78103,05:34:00,05:35:00,1,1,0,0
78103,05:38:00,05:39:00,386,2,0,0
78103,05:41:00,05:42:00,500,3,0,0
78103,05:43:00,05:44:00,387,4,0,0
78103,05:46:00,05:47:00,388,5,0,0
78103,05:50:00,05:51:00,520,6,0,0
78103,05:54:00,05:55:00,346,7,0,0
78103,06:00:00,06:01:00,340,8,0,0
78103,06:05:00,06:06:00,239,9,0,0
78103,06:09:00,06:10:00,232,10,0,0
78103,06:12:00,06:13:00,342,11,0,0
78103,06:16:00,06:17:00,237,12,0,0
78103,06:20:00,06:21:00,349,13,0,0
78565,05:37:00,05:38:00,1,1,0,0
78565,05:44:00,05:45:00,400,2,0,0
78565,05:46:00,05:47:00,225,3,0,0
78565,05:49:00,05:50:00,382,4,0,0
78565,05:51:00,05:52:00,501,5,0,0
78565,05:53:00,05:54:00,385,6,0,0
78565,05:57:00,05:58:00,452,7,0,0
78565,06:00:00,06:01:00,449,8,0,0
78565,06:03:00,06:04:00,451,9,0,0
78565,06:06:00,06:07:00,258,10,0,0
78565,06:09:00,06:10:00,276,11,0,0
78565,06:12:00,06:13:00,281,12,0,0
78565,06:16:00,06:17:00,230,13,0,0
78565,06:18:00,06:19:00,282,14,0,0
78565,06:23:00,06:24:00,306,15,0,0
78565,06:29:00,06:30:00,310,16,0,0
78565,06:31:00,06:32:00,352,17,0,0
78565,06:36:00,06:37:00,398,18,0,0
78565,06:38:00,06:39:00,287,19,0,0
78565,06:41:00,06:42:00,453,20,0,0
78565,06:44:00,06:45:00,399,21,0,0
78394,05:38:00,05:39:00,1,1,0,0
78394,05:43:00,05:44:00,450,2,0,0
78394,05:48:00,05:49:00,331,3,0,0
78394,05:50:00,05:51:00,245,4,0,0
78394,05:52:00,05:53:00,421,5,0,0
78394,05:54:00,05:55:00,274,6,0,0
78394,05:56:00,05:57:00,377,7,0,0
78394,05:58:00,05:59:00,241,8,0,0
78394,06:01:00,06:02:00,250,9,0,0
78394,06:04:00,06:05:00,380,10,0,0
78394,06:08:00,06:09:00,384,11,0,0
78394,06:12:00,06:13:00,299,12,0,0
78394,06:17:00,06:18:00,343,13,0,0
78394,06:19:00,06:20:00,339,14,0,0
77983,05:59:00,06:00:00,1,1,0,0
77983,06:03:00,06:04:00,386,2,0,0
77983,06:08:00,06:09:00,391,3,0,0
77983,06:10:00,06:11:00,248,4,0,0
77983,06:12:00,06:13:00,392,5,0,0
77983,06:15:00,06:16:00,305,6,0,0
77983,06:18:00,06:19:00,213,7,0,0
77983,06:23:00,06:24:00,358,8,0,0
77983,06:28:00,06:29:00,296,9,0,0
77983,06:31:00,06:32:00,229,10,0,0
77983,06:33:00,06:34:00,255,11,0,0
77983,06:37:00,06:38:00,316,12,0,0
77983,06:52:00,06:53:00,252,13,0,0
77983,06:57:00,06:58:00,336,14,0,0
77983,06:59:00,07:00:00,359,15,0,0
77983,07:01:00,07:02:00,322,16,0,0
77983,07:03:00,07:04:00,207,17,0,0
77983,07:05:00,07:06:00,393,18,0,0
77983,07:12:00,07:13:00,394,19,0,0
77983,07:17:00,07:18:00,275,20,0,0
77983,07:22:00,07:23:00,286,21,0,0
77983,07:29:00,07:30:00,395,22,0,0
77983,07:34:00,07:35:00,328,23,0,0
77983,07:39:00,07:40:00,396,24,0,0
77983,07:43:00,07:44:00,397,25,0,0
78104,06:03:00,06:04:00,1,1,0,0
78104,06:09:00,06:10:00,386,2,0,0
78104,06:14:00,06:15:00,387,3,0,0
78104,06:18:00,06:19:00,388,4,0,0
78104,06:30:00,06:31:00,340,5,0,0
78104,06:40:00,06:41:00,342,6,0,0
