service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6501,1,1,1,1,1,1,1,20251205,20260202
6761,1,1,1,1,1,0,0,20260106,20260316
6202,1,1,1,1,1,1,1,20251214,20261212
6102,1,1,1,1,1,1,1,20260106,20260203
6301,1,1,1,1,1,1,1,20251205,20260202
6701,1,1,1,1,1,1,1,20260106,20260316
6204,1,1,1,1,1,0,0,20251214,20261212
6104,1,1,1,1,1,0,0,20260106,20260203
6703,1,1,1,1,1,0,0,20260106,20260316
6503,1,1,1,1,1,1,1,20251205,20260202
6206,1,1,1,1,1,1,1,20251214,20261212
6303,1,1,1,1,1,1,1,20251205,20260202
6208,1,1,1,1,1,0,0,20251214,20261212
862,1,1,1,1,1,1,1,20260106,20260211
6305,1,1,1,1,1,1,1,20251205,20260202
6705,1,1,1,1,1,1,1,20260106,20260316
6210,1,1,1,1,1,1,1,20251214,20261212
6106,1,1,1,1,1,1,1,20260106,20260203
6707,1,1,1,1,1,0,0,20260106,20260316
6505,1,1,1,1,1,1,1,20251205,20260202
802,1,1,1,1,1,1,1,20251214,20261212
6212,1,1,1,1,1,1,1,20251214,20261212
6307,1,1,1,1,1,1,1,20251205,20260202
6309,1,1,1,1,1,1,1,20251205,20260202
6709,1,1,1,1,1,1,1,20260106,20260316
6214,1,1,1,1,1,1,1,20251214,20261212
6365,1,1,1,1,1,0,0,20260106,20260202
6711,1,1,1,1,1,0,0,20260106,20260316
6110,1,1,1,1,1,1,1,20260106,20260203
6507,1,1,1,1,1,1,1,20251205,20260202
804,1,1,1,1,1,1,1,20251214,20261212
6216,1,1,1,1,1,1,1,20251214,20261212
6311,1,1,1,1,1,1,1,20251205,20260202
6313,1,1,1,1,1,1,1,20251205,20260202
6713,1,1,1,1,1,1,1,20260106,20260316
6218,1,1,1,1,1,1,1,20251214,20261212
6114,1,1,1,1,1,1,1,20260106,20260203
6509,1,1,1,1,1,1,1,20251205,20260202
6220,1,1,1,1,1,1,1,20251214,20261212
6315,1,1,1,1,1,1,1,20251205,20260202
6317,1,1,1,1,1,1,1,20251205,20260202
832,0,1,1,1,1,0,0,20260106,20260211
6715,1,1,1,1,1,1,1,20260106,20260316
6222,1,1,1,1,1,1,1,20251214,20261212
6118,1,1,1,1,1,1,1,20260106,20260203
6511,1,1,1,1,1,1,1,20251205,20260202
702,1,1,1,1,1,1,1,20251220,20261212
6319,1,1,1,1,1,1,1,20251205,20260202
6321,1,1,1,1,1,1,1,20251205,20260202
6717,1,1,1,1,1,1,1,20260106,20260316
6224,1,1,1,1,1,1,1,20251214,20261212
6120,1,1,1,1,1,1,1,20260106,20260203
6513,1,1,1,1,1,1,1,20251205,20260202
6323,1,1,1,1,1,1,1,20251205,20260202
6719,1,1,1,1,1,1,1,20260106,20260316
6226,1,1,1,1,1,1,1,20251214,20261212
874,1,1,1,1,1,1,1,20260106,20260211
6515,1,1,1,1,1,1,1,20251205,20260202
6122,1,1,1,1,1,1,1,20260106,20260203
6325,1,1,1,1,1,1,1,20251205,20260202
704,0,1,1,1,1,1,0,20251214,20261212
6327,1,1,1,1,1,1,1,20251205,20260202
810,1,1,1,1,1,1,1,20251214,20261212
6721,1,1,1,1,1,1,1,20260106,20260316
836,1,1,1,1,1,1,1,20260106,20260211
6228,1,1,1,1,1,1,1,20251214,20261212
6517,1,1,1,1,1,1,1,20251205,20260202
6124,1,1,1,1,1,1,1,20260106,20260203
6230,1,1,1,1,1,1,1,20251214,20261212
