route_id,service_id,trip_id,trip_headsign
3991,6101,78608, Rīga
1399,6102,78565, Skulte
3981,6103,78610, Rīga
1398,6104,78584, Saulkrasti
3991,6105,78611, Rīga
1399,6106,78566, Skulte
3981,6107,78612, Rīga
1398,6108,78585, Saulkrasti
3991,6109,78613, Rīga
1399,6110,78567, Skulte
3981,6111,78615, Rīga
1230,6112,78586, Carnikava
3991,6113,78614, Rīga
1399,6114,78568, Skulte
3981,6117,78617, Rīga
1398,6118,78588, Saulkrasti
3991,6119,78618, Rīga
2301,6121,78621, Rīga
1399,6122,78569, Skulte
3991,6123,78619, Rīga
1398,6126,78592, Saulkrasti
3981,6127,78623, Rīga
1399,6130,78570, Skulte
3991,6131,78620, Rīga
1398,6134,78598, Saulkrasti
3981,6135,78626, Rīga
1399,6138,78571, Skulte
3991,6139,78628, Rīga
1230,6140,78600, Carnikava
1399,6142,78573, Skulte
3981,6143,78630, Rīga
1230,6144,78601, Carnikava
2301,6145,78631, Rīga
1399,6146,78574, Skulte
3991,6147,78632, Rīga
1398,6148,78602, Saulkrasti
2301,6149,78633, Rīga
3991,6151,78634, Rīga
1399,6152,78576, Skulte
1398,6154,78605, Saulkrasti
3991,6155,78636, Rīga
1399,6156,78577, Skulte
3981,6157,78637, Rīga
1398,6158,78606, Saulkrasti
3991,6159,78640, Rīga
1399,6160,78578, Skulte
3981,6161,78641, Rīga
1398,6162,78607, Saulkrasti
3991,6163,78642, Rīga
1399,6164,78579, Skulte
3981,6165,78643, Rīga
1399,6166,78580, Skulte
3991,6167,78644, Rīga
1399,6168,78581, Skulte
3991,6169,78645, Rīga
1399,6170,78582, Skulte
2981,6201,78446, Rīga
1203,6202,78392, Aizkraukle
2031,6203,78447, Rīga
1339,6204,78394, Ogre
2981,6205,78448, Rīga
1203,6206,78395, Aizkraukle
2031,6207,78449, Rīga
1339,6208,78397, Ogre
3391,6209,78450, Rīga
1298,6210,78399, Lielvārde
2981,6211,78451, Rīga
1203,6212,78402, Aizkraukle
3391,6213,78452, Rīga
1298,6214,78404, Lielvārde
2031,6215,78453, Rīga
1203,6216,78405, Aizkraukle
2981,6217,78455, Rīga
1298,6218,78407, Lielvārde
2031,6219,78456, Rīga
1339,6220,78409, Ogre
2981,6221,78457, Rīga
1203,6222,78411, Aizkraukle
2031,6223,78458, Rīga
1298,6224,78413, Lielvārde
3391,6225,78459, Rīga
1203,6226,78416, Aizkraukle
2981,6227,78460, Rīga
1203,6228,78419, Aizkraukle
2031,6229,78461, Rīga
1339,6230,78420, Ogre
2031,6231,78462, Rīga
1203,6232,78421, Aizkraukle
2981,6233,78463, Rīga
1298,6234,78423, Lielvārde
2031,6235,78464, Rīga
1243,6236-824,78274, Daugavpils
3391,6237,78467, Rīga
1298,6238,78424, Lielvārde
2031,6239,78468, Rīga
1203,6240,78426, Aizkraukle
2981,6241,78469, Rīga
1298,6242,78427, Lielvārde
1203,6244,78428, Aizkraukle
2981,6245,78470, Rīga
1298,6246,78429, Lielvārde
2031,6247,78471, Rīga
1339,6248,78430, Ogre
2981,6249,78472, Rīga
1203,6250,78431, Aizkraukle
2031,6251,78473, Rīga
1298,6252,78432, Lielvārde
3391,6253,78474, Rīga
1203,6254,78433, Aizkraukle
2981,6255,78475, Rīga
1298,6256,78434, Lielvārde
2031,6257,78476, Rīga
1298,6258,78435, Lielvārde
2981,6259,78477, Rīga
1203,6260,78436, Aizkraukle
2031,6261,78478, Rīga
1298,6262,78440, Lielvārde
2981,6263,78479, Rīga
1298,6264,78441, Lielvārde
2031,6265,78480, Rīga
1203,6266,78443, Aizkraukle
2981,6267,78481, Rīga
1203,6268,78444, Aizkraukle
2031,6269,78482, Rīga
1298,6270,78445, Lielvārde
1252,6301,78002, Dubulti
2521,6302,78044, Rīga
1252,6303,78003, Dubulti
2521,6304,78045, Rīga
1252,6305,78004, Dubulti
2521,6306,78047, Rīga
1252,6307,78005, Dubulti
2521,6308,78048, Rīga
1252,6309,78006, Dubulti
2521,6310,78050, Rīga
1252,6311,78007, Dubulti
2521,6312,78051, Rīga
1252,6313,78008, Dubulti
2521,6314,78053, Rīga
1252,6315,78009, Dubulti
2521,6316,78054, Rīga
1252,6317,78010, Dubulti
2521,6318,78056, Rīga
1252,6319,78011, Dubulti
2521,6320,78057, Rīga
1252,6321,78012, Dubulti
2521,6322,78059, Rīga
1252,6323,78013, Dubulti
2521,6324,78060, Rīga
1252,6325,78014, Dubulti
2521,6326,78062, Rīga
1252,6327,78015, Dubulti
2521,6328,78064, Rīga
1252,6329,78016, Dubulti
2521,6330,78066, Rīga
1252,6331,78017, Dubulti
2521,6332,78067, Rīga
1252,6333,78018, Dubulti
2521,6334,78069, Rīga
1252,6335,78019, Dubulti
2521,6336,78070, Rīga
1252,6337,78020, Dubulti
2521,6338,78072, Rīga
1252,6339,78021, Dubulti
2521,6340,78074, Rīga
1252,6341,78022, Dubulti
2521,6342,78076, Rīga
1252,6343,78023, Dubulti
2521,6344,78077, Rīga
1252,6345,78024, Dubulti
2521,6346,78079, Rīga
1252,6347,78025, Dubulti
2521,6348,78080, Rīga
1252,6349,78026, Dubulti
2521,6350,78082, Rīga
1252,6351,78027, Dubulti
2521,6352,78083, Rīga
1252,6353,78028, Dubulti
2521,6354,78085, Rīga
1252,6355,78029, Dubulti
2521,6356,78086, Rīga
1252,6357,78030, Dubulti
2521,6358,78088, Rīga
1252,6359,78031, Dubulti
2521,6360,78089, Rīga
1252,6361,78032, Dubulti
2521,6362,78093, Rīga
1252,6363,78583, Dubulti
3581,6364,78095, Rīga
1397,6501,77982, Tukums 2
3971,6502,78042, Rīga
1397,6503,77983, Tukums 2
3971,6504,78043, Rīga
1397,6505,77984, Tukums 2
3971,6506,78046, Rīga
1397,6507,77985, Tukums 2
3971,6508,78049, Rīga
1397,6509,77986, Tukums 2
3971,6510,78052, Rīga
1396,6511,77987, Tukums 1
3971,6512,78055, Rīga
1286,6513,77988, Ķemeri
3971,6514,78058, Rīga
1397,6515,77989, Tukums 2
3971,6516,78061, Rīga
